data,val,Percentage Daily Movement,Percentage Price Change
2020-12-10,48.87,0.011591802939350027,0.6262895174708817
2020-12-11,49.58,0.01452834049519125,0.6499168053244592
2020-12-14,49.65,0.0014118596208148038,0.6522462562396005
2020-12-15,49.61,-0.0008056394763342745,0.6509151414309483
2020-12-16,50.12,0.01028018544648246,0.6678868552412645
2020-12-17,50.78,0.013168395849960213,0.6898502495840266
2020-12-18,50.69,-0.0017723513194171092,0.686855241264559
2020-12-21,49.57,-0.02209508778851843,0.6495840266222962
2020-12-22,49.22,-0.007060722211014725,0.6379367720465889
2020-12-23,49.46,0.004876066639577514,0.6459234608985025
2020-12-24,50.31,0.01718560452891227,0.6742096505823628
2020-12-28,50.1,-0.004174120453190211,0.6672212978369384
2020-12-29,50.16,0.0011976047904189713,0.6692179700499167
2020-12-30,50.22,0.0011961722488038617,0.6712146422628951
2020-12-31,50.24,0.00039824771007568316,0.6718801996672213
2021-01-04,51.35,0.022093949044585948,0.7088186356073212
2021-01-05,50.75,-0.011684518013632017,0.6888519134775374
2021-01-06,53.29,0.050049261083743746,0.773377703826955
2021-01-07,53.84,0.010320885719647288,0.7916805324459235
2021-01-08,54.39,0.010215453194650781,0.8099833610648918
2021-01-11,54.76,0.006802721088435382,0.822296173044925
2021-01-12,55.41,0.011869978086194166,0.843926788685524
2021-01-13,55.81,0.007218913553510342,0.8572379367720466
2021-01-14,55.19,-0.011109120229349623,0.8366056572379367
2021-01-15,54.68,-0.009240804493567678,0.8196339434276205
2021-01-18,53.92,-0.013899049012435993,0.794342762063228
2021-01-19,54.85,0.01724777448071224,0.8252911813643927
2021-01-20,55.75,0.016408386508659945,0.8552412645590681
2021-01-21,55.14,-0.010941704035874467,0.8349417637271215
2021-01-22,54.69,-0.008161044613710589,0.8199667221297836
2021-01-25,54.85,0.002925580544889339,0.8252911813643927
2021-01-26,54.87,0.00036463081130344577,0.8259567387687187
2021-01-27,55.31,0.008018953891015146,0.8405990016638936
2021-01-28,54.36,-0.017175917555595777,0.8089850249584026
2021-01-29,54.41,0.0009197939661516052,0.8106489184692178
2021-02-01,55.14,0.01341665135085468,0.8349417637271215
2021-02-02,56.82,0.030467899891186034,0.8908485856905157
2021-02-03,57.74,0.016191481872580127,0.9214642262895175
